# File: A54.india_StubTranTechLoadFactor.csv
# Title: Load factor of passenger and freight sub technology wise
# Units: Number of people/ tons per vehicle
# Column types: ccccin
# ----------
region,supplysector,tranSubsector,stub.technology,year,loadFactor
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2095,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2100,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2010,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2015,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2025,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2030,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2035,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2040,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2045,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2050,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2055,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2060,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2065,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2070,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2075,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2080,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2085,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2090,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2095,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2100,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,NG,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,NG,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,NG,2010,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2015,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2020,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2025,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2030,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2035,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2040,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2045,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2050,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2055,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2060,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2065,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2070,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2075,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2080,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2085,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2090,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2095,2.14
India,trn_pass_road_LDV_4W,LDV_4W,NG,2100,2.14
India,trn_shipping_intl,Ship International,Liquids,1975,20000
India,trn_shipping_intl,Ship International,Liquids,1990,20000
India,trn_shipping_intl,Ship International,Liquids,2005,20000
India,trn_shipping_intl,Ship International,Liquids,2010,20000
India,trn_shipping_intl,Ship International,Liquids,2015,20000
India,trn_shipping_intl,Ship International,Liquids,2020,20000
India,trn_shipping_intl,Ship International,Liquids,2025,20000
India,trn_shipping_intl,Ship International,Liquids,2030,20000
India,trn_shipping_intl,Ship International,Liquids,2035,20000
India,trn_shipping_intl,Ship International,Liquids,2040,20000
India,trn_shipping_intl,Ship International,Liquids,2045,20000
India,trn_shipping_intl,Ship International,Liquids,2050,20000
India,trn_shipping_intl,Ship International,Liquids,2055,20000
India,trn_shipping_intl,Ship International,Liquids,2060,20000
India,trn_shipping_intl,Ship International,Liquids,2065,20000
India,trn_shipping_intl,Ship International,Liquids,2070,20000
India,trn_shipping_intl,Ship International,Liquids,2075,20000
India,trn_shipping_intl,Ship International,Liquids,2080,20000
India,trn_shipping_intl,Ship International,Liquids,2085,20000
India,trn_shipping_intl,Ship International,Liquids,2090,20000
India,trn_shipping_intl,Ship International,Liquids,2095,20000
India,trn_shipping_intl,Ship International,Liquids,2100,20000
India,trn_freight_road,Truck,FCEV,1975,5.3859
India,trn_freight_road,Truck,FCEV,1990,5.3859
India,trn_freight_road,Truck,FCEV,2005,5.3859
India,trn_freight_road,Truck,FCEV,2010,5.3859
India,trn_freight_road,Truck,FCEV,2015,5.2306
India,trn_freight_road,Truck,FCEV,2020,5.2306
India,trn_freight_road,Truck,FCEV,2025,5.2306
India,trn_freight_road,Truck,FCEV,2030,5.2306
India,trn_freight_road,Truck,FCEV,2035,5.2306
India,trn_freight_road,Truck,FCEV,2040,5.2306
India,trn_freight_road,Truck,FCEV,2045,5.2306
India,trn_freight_road,Truck,FCEV,2050,5.2306
India,trn_freight_road,Truck,FCEV,2055,5.2306
India,trn_freight_road,Truck,FCEV,2060,5.2306
India,trn_freight_road,Truck,FCEV,2065,5.2306
India,trn_freight_road,Truck,FCEV,2070,5.2306
India,trn_freight_road,Truck,FCEV,2075,5.2306
India,trn_freight_road,Truck,FCEV,2080,5.2306
India,trn_freight_road,Truck,FCEV,2085,5.2306
India,trn_freight_road,Truck,FCEV,2090,5.2306
India,trn_freight_road,Truck,FCEV,2095,5.2306
India,trn_freight_road,Truck,FCEV,2100,5.2306
