# File: A23.india_state_tech_OMvar.csv
# Title: Electricity technology variable operations and maintenance costs
# Units: 1975$/MWh
# Column types: ccccnci
# ----------
region,supplysector,subsector,technology,year,input.OM.var,OM.var
AN,electricity,biomass,biomass (IGCC),2055,OM-var,0
AN,electricity,biomass,biomass (IGCC),2060,OM-var,0
AN,electricity,biomass,biomass (IGCC),2065,OM-var,0
AN,electricity,biomass,biomass (IGCC),2070,OM-var,0
AN,electricity,biomass,biomass (IGCC),2075,OM-var,0
AN,electricity,biomass,biomass (IGCC),2080,OM-var,0
AN,electricity,biomass,biomass (IGCC),2085,OM-var,0
AN,electricity,biomass,biomass (IGCC),2090,OM-var,0
AN,electricity,biomass,biomass (IGCC),2095,OM-var,0
AN,electricity,biomass,biomass (IGCC),2100,OM-var,0
AN,electricity,coal,coal (conv pul CCS),1975,OM-var,0
AN,electricity,coal,coal (conv pul CCS),1990,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2005,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2010,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2015,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2020,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2025,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2030,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2035,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2040,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2045,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2050,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2055,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2060,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2065,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2070,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2075,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2080,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2085,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2090,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2095,OM-var,0
AN,electricity,coal,coal (conv pul CCS),2100,OM-var,0
AN,electricity,coal,coal (conv pul),1975,OM-var,0
AN,electricity,coal,coal (conv pul),1990,OM-var,0
AN,electricity,coal,coal (conv pul),2005,OM-var,0
AN,electricity,coal,coal (conv pul),2010,OM-var,0
AN,electricity,coal,coal (conv pul),2015,OM-var,0
AN,electricity,coal,coal (conv pul),2020,OM-var,0
AN,electricity,coal,coal (conv pul),2025,OM-var,0
AN,electricity,coal,coal (conv pul),2030,OM-var,0
AN,electricity,coal,coal (conv pul),2035,OM-var,0
AN,electricity,coal,coal (conv pul),2040,OM-var,0
AN,electricity,coal,coal (conv pul),2045,OM-var,0
AN,electricity,coal,coal (conv pul),2050,OM-var,0
AN,electricity,coal,coal (conv pul),2055,OM-var,0
AN,electricity,coal,coal (conv pul),2060,OM-var,0
AN,electricity,coal,coal (conv pul),2065,OM-var,0
AN,electricity,coal,coal (conv pul),2070,OM-var,0
AN,electricity,coal,coal (conv pul),2075,OM-var,0
AN,electricity,coal,coal (conv pul),2080,OM-var,0
AN,electricity,coal,coal (conv pul),2085,OM-var,0
AN,electricity,coal,coal (conv pul),2090,OM-var,0
AN,electricity,coal,coal (conv pul),2095,OM-var,0
AN,electricity,coal,coal (conv pul),2100,OM-var,0
AN,electricity,coal,coal (IGCC CCS),1975,OM-var,0
AN,electricity,coal,coal (IGCC CCS),1990,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2005,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2010,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2015,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2020,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2025,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2030,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2035,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2040,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2045,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2050,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2055,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2060,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2065,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2070,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2075,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2080,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2085,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2090,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2095,OM-var,0
AN,electricity,coal,coal (IGCC CCS),2100,OM-var,0
AN,electricity,coal,coal (IGCC),1975,OM-var,0
AN,electricity,coal,coal (IGCC),1990,OM-var,0
AN,electricity,coal,coal (IGCC),2005,OM-var,0
AN,electricity,coal,coal (IGCC),2010,OM-var,0
AN,electricity,coal,coal (IGCC),2015,OM-var,0
AN,electricity,coal,coal (IGCC),2020,OM-var,0
AN,electricity,coal,coal (IGCC),2025,OM-var,0
AN,electricity,coal,coal (IGCC),2030,OM-var,0
AN,electricity,coal,coal (IGCC),2035,OM-var,0
AN,electricity,coal,coal (IGCC),2040,OM-var,0
AN,electricity,coal,coal (IGCC),2045,OM-var,0
AN,electricity,coal,coal (IGCC),2050,OM-var,0
AN,electricity,coal,coal (IGCC),2055,OM-var,0
