INPUT_TABLE
Variable ID
RegionIntTechCapital

region,supplysector,subsector,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
KA,electricity,solar,PV,2050,capital,60,0.203410579
KL,electricity,solar,PV,2050,capital,60,0.203410579
LA,electricity,solar,PV,2050,capital,60,0.203410579
LD,electricity,solar,PV,2050,capital,60,0.203410579
MH,electricity,solar,PV,2050,capital,60,0.203410579
ML,electricity,solar,PV,2050,capital,60,0.203410579
MN,electricity,solar,PV,2050,capital,60,0.203410579
MP,electricity,solar,PV,2050,capital,60,0.203410579
MZ,electricity,solar,PV,2050,capital,60,0.203410579
NL,electricity,solar,PV,2050,capital,60,0.203410579
OD,electricity,solar,PV,2050,capital,60,0.203410579
PB,electricity,solar,PV,2050,capital,60,0.203410579
PC,electricity,solar,PV,2050,capital,60,0.203410579
RJ,electricity,solar,PV,2050,capital,60,0.203410579
SK,electricity,solar,PV,2050,capital,60,0.203410579
TN,electricity,solar,PV,2050,capital,60,0.203410579
TR,electricity,solar,PV,2050,capital,60,0.203410579
TS,electricity,solar,PV,2050,capital,60,0.203410579
UK,electricity,solar,PV,2050,capital,60,0.203410579
UP,electricity,solar,PV,2050,capital,60,0.203410579
WB,electricity,solar,PV,2050,capital,60,0.203410579
AN,electricity,solar,PV,2055,capital,60,0.203410579
AP,electricity,solar,PV,2055,capital,60,0.203410579
AR,electricity,solar,PV,2055,capital,60,0.203410579
AS,electricity,solar,PV,2055,capital,60,0.203410579
BR,electricity,solar,PV,2055,capital,60,0.203410579
CG,electricity,solar,PV,2055,capital,60,0.203410579
CH,electricity,solar,PV,2055,capital,60,0.203410579
DD,electricity,solar,PV,2055,capital,60,0.203410579
DL,electricity,solar,PV,2055,capital,60,0.203410579
DN,electricity,solar,PV,2055,capital,60,0.203410579
GA,electricity,solar,PV,2055,capital,60,0.203410579
GJ,electricity,solar,PV,2055,capital,60,0.203410579
HP,electricity,solar,PV,2055,capital,60,0.203410579
HR,electricity,solar,PV,2055,capital,60,0.203410579
JH,electricity,solar,PV,2055,capital,60,0.203410579
JK,electricity,solar,PV,2055,capital,60,0.203410579
KA,electricity,solar,PV,2055,capital,60,0.203410579
KL,electricity,solar,PV,2055,capital,60,0.203410579
LA,electricity,solar,PV,2055,capital,60,0.203410579
LD,electricity,solar,PV,2055,capital,60,0.203410579
MH,electricity,solar,PV,2055,capital,60,0.203410579
ML,electricity,solar,PV,2055,capital,60,0.203410579
MN,electricity,solar,PV,2055,capital,60,0.203410579
MP,electricity,solar,PV,2055,capital,60,0.203410579
MZ,electricity,solar,PV,2055,capital,60,0.203410579
NL,electricity,solar,PV,2055,capital,60,0.203410579
OD,electricity,solar,PV,2055,capital,60,0.203410579
PB,electricity,solar,PV,2055,capital,60,0.203410579
PC,electricity,solar,PV,2055,capital,60,0.203410579
RJ,electricity,solar,PV,2055,capital,60,0.203410579
SK,electricity,solar,PV,2055,capital,60,0.203410579
TN,electricity,solar,PV,2055,capital,60,0.203410579
TR,electricity,solar,PV,2055,capital,60,0.203410579
TS,electricity,solar,PV,2055,capital,60,0.203410579
UK,electricity,solar,PV,2055,capital,60,0.203410579
UP,electricity,solar,PV,2055,capital,60,0.203410579
WB,electricity,solar,PV,2055,capital,60,0.203410579
AN,electricity,solar,PV,2060,capital,60,0.203410579
AP,electricity,solar,PV,2060,capital,60,0.203410579
AR,electricity,solar,PV,2060,capital,60,0.203410579
AS,electricity,solar,PV,2060,capital,60,0.203410579
BR,electricity,solar,PV,2060,capital,60,0.203410579
CG,electricity,solar,PV,2060,capital,60,0.203410579
CH,electricity,solar,PV,2060,capital,60,0.203410579
DD,electricity,solar,PV,2060,capital,60,0.203410579
DL,electricity,solar,PV,2060,capital,60,0.203410579
DN,electricity,solar,PV,2060,capital,60,0.203410579
GA,electricity,solar,PV,2060,capital,60,0.203410579
GJ,electricity,solar,PV,2060,capital,60,0.203410579
HP,electricity,solar,PV,2060,capital,60,0.203410579
HR,electricity,solar,PV,2060,capital,60,0.203410579
JH,electricity,solar,PV,2060,capital,60,0.203410579
JK,electricity,solar,PV,2060,capital,60,0.203410579
KA,electricity,solar,PV,2060,capital,60,0.203410579
KL,electricity,solar,PV,2060,capital,60,0.203410579
LA,electricity,solar,PV,2060,capital,60,0.203410579
LD,electricity,solar,PV,2060,capital,60,0.203410579
MH,electricity,solar,PV,2060,capital,60,0.203410579
ML,electricity,solar,PV,2060,capital,60,0.203410579
