INPUT_TABLE
Variable ID
RegionIntTechBackup

region,supplysector,subsector,stub.technology,year,electric.sector.name,trial.market.name,backup.capital.cost,backup.capacity.factor,capacity.limit,minicam.energy.input,minicam.non.energy.input
AP,electricity,solar,CSP,2095,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AP,electricity,solar,CSP,2100,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AP,electricity,solar,PV,1975,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,1990,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2005,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2010,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2015,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2020,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2025,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2030,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2035,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2040,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2045,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2050,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2055,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2060,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2065,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2070,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2075,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2080,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2085,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2090,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2095,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AP,electricity,solar,PV,2100,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,CSP,1975,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,1990,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2005,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2010,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2015,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2020,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2025,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2030,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2035,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2040,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2045,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2050,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2055,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2060,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2065,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2070,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2075,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2080,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2085,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2090,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2095,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,CSP,2100,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AR,electricity,solar,PV,1975,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,1990,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2005,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2010,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2015,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2020,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2025,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2030,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2035,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2040,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2045,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2050,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2055,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2060,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2065,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2070,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2075,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2080,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2085,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2090,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2095,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AR,electricity,solar,PV,2100,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,CSP,1975,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,1990,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2005,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2010,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2015,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2020,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2025,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2030,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2035,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2040,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2045,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2050,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2055,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2060,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2065,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2070,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2075,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2080,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2085,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2090,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2095,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,CSP,2100,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
AS,electricity,solar,PV,1975,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,1990,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2005,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2010,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2015,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2020,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2025,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2030,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2035,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2040,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2045,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2050,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2055,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2060,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2065,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2070,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2075,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2080,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2085,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2090,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2095,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
AS,electricity,solar,PV,2100,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,CSP,1975,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,1990,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2005,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2010,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2015,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2020,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2025,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2030,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2035,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2040,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2045,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2050,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2055,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2060,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2065,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2070,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2075,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2080,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2085,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2090,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2095,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,CSP,2100,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
BR,electricity,solar,PV,1975,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,1990,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2005,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2010,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2015,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2020,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2025,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2030,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2035,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2040,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2045,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2050,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2055,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2060,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2065,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2070,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2075,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2080,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2085,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2090,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2095,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
BR,electricity,solar,PV,2100,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,CSP,1975,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,1990,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2005,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2010,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2015,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2020,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2025,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2030,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2035,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2040,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2045,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2050,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2055,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2060,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2065,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2070,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2075,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2080,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2085,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2090,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2095,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,CSP,2100,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CG,electricity,solar,PV,1975,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,1990,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2005,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2010,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2015,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2020,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2025,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2030,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2035,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2040,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2045,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2050,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2055,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2060,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2065,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2070,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2075,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2080,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2085,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2090,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2095,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CG,electricity,solar,PV,2100,electricity,renewable,0,0,0.95,backup_electricity,backup-cap-cost
CH,electricity,solar,CSP,1975,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,1990,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2005,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2010,electricity,renewable,0,0,0.2,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2015,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2020,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2025,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2030,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2035,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2040,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2045,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2050,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2055,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2060,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2065,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2070,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2075,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2080,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2085,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2090,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2095,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,CSP,2100,electricity,renewable,0,0,0.95,csp_backup,backup-cap-cost
CH,electricity,solar,PV,1975,electricity,renewable,0,0,0.2,backup_electricity,backup-cap-cost
