INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
GJ,electricity,solar,CSP,2070,0.48
HP,electricity,solar,CSP,2070,0.48
HR,electricity,solar,CSP,2070,0.48
JH,electricity,solar,CSP,2070,0.48
JK,electricity,solar,CSP,2070,0.48
KA,electricity,solar,CSP,2070,0.48
KL,electricity,solar,CSP,2070,0.48
LA,electricity,solar,CSP,2070,0.48
LD,electricity,solar,CSP,2070,0.48
MH,electricity,solar,CSP,2070,0.48
ML,electricity,solar,CSP,2070,0.48
MN,electricity,solar,CSP,2070,0.48
MP,electricity,solar,CSP,2070,0.48
MZ,electricity,solar,CSP,2070,0.48
NL,electricity,solar,CSP,2070,0.48
OD,electricity,solar,CSP,2070,0.48
PB,electricity,solar,CSP,2070,0.48
PC,electricity,solar,CSP,2070,0.48
RJ,electricity,solar,CSP,2070,0.48
SK,electricity,solar,CSP,2070,0.48
TN,electricity,solar,CSP,2070,0.48
TR,electricity,solar,CSP,2070,0.48
TS,electricity,solar,CSP,2070,0.48
UK,electricity,solar,CSP,2070,0.48
UP,electricity,solar,CSP,2070,0.48
WB,electricity,solar,CSP,2070,0.48
AN,electricity,solar,CSP,2075,0.48
AP,electricity,solar,CSP,2075,0.48
AR,electricity,solar,CSP,2075,0.48
AS,electricity,solar,CSP,2075,0.48
BR,electricity,solar,CSP,2075,0.48
CG,electricity,solar,CSP,2075,0.48
CH,electricity,solar,CSP,2075,0.48
DD,electricity,solar,CSP,2075,0.48
DL,electricity,solar,CSP,2075,0.48
DN,electricity,solar,CSP,2075,0.48
GA,electricity,solar,CSP,2075,0.48
GJ,electricity,solar,CSP,2075,0.48
HP,electricity,solar,CSP,2075,0.48
HR,electricity,solar,CSP,2075,0.48
JH,electricity,solar,CSP,2075,0.48
JK,electricity,solar,CSP,2075,0.48
KA,electricity,solar,CSP,2075,0.48
KL,electricity,solar,CSP,2075,0.48
LA,electricity,solar,CSP,2075,0.48
LD,electricity,solar,CSP,2075,0.48
MH,electricity,solar,CSP,2075,0.48
ML,electricity,solar,CSP,2075,0.48
MN,electricity,solar,CSP,2075,0.48
MP,electricity,solar,CSP,2075,0.48
MZ,electricity,solar,CSP,2075,0.48
NL,electricity,solar,CSP,2075,0.48
OD,electricity,solar,CSP,2075,0.48
PB,electricity,solar,CSP,2075,0.48
PC,electricity,solar,CSP,2075,0.48
RJ,electricity,solar,CSP,2075,0.48
SK,electricity,solar,CSP,2075,0.48
TN,electricity,solar,CSP,2075,0.48
TR,electricity,solar,CSP,2075,0.48
TS,electricity,solar,CSP,2075,0.48
UK,electricity,solar,CSP,2075,0.48
UP,electricity,solar,CSP,2075,0.48
WB,electricity,solar,CSP,2075,0.48
AN,electricity,solar,CSP,2080,0.48
AP,electricity,solar,CSP,2080,0.48
AR,electricity,solar,CSP,2080,0.48
AS,electricity,solar,CSP,2080,0.48
BR,electricity,solar,CSP,2080,0.48
CG,electricity,solar,CSP,2080,0.48
CH,electricity,solar,CSP,2080,0.48
DD,electricity,solar,CSP,2080,0.48
DL,electricity,solar,CSP,2080,0.48
DN,electricity,solar,CSP,2080,0.48
GA,electricity,solar,CSP,2080,0.48
GJ,electricity,solar,CSP,2080,0.48
HP,electricity,solar,CSP,2080,0.48
HR,electricity,solar,CSP,2080,0.48
JH,electricity,solar,CSP,2080,0.48
JK,electricity,solar,CSP,2080,0.48
KA,electricity,solar,CSP,2080,0.48
KL,electricity,solar,CSP,2080,0.48
LA,electricity,solar,CSP,2080,0.48
LD,electricity,solar,CSP,2080,0.48
MH,electricity,solar,CSP,2080,0.48
ML,electricity,solar,CSP,2080,0.48
MN,electricity,solar,CSP,2080,0.48
MP,electricity,solar,CSP,2080,0.48
MZ,electricity,solar,CSP,2080,0.48
NL,electricity,solar,CSP,2080,0.48
OD,electricity,solar,CSP,2080,0.48
PB,electricity,solar,CSP,2080,0.48
PC,electricity,solar,CSP,2080,0.48
RJ,electricity,solar,CSP,2080,0.48
SK,electricity,solar,CSP,2080,0.48
TN,electricity,solar,CSP,2080,0.48
TR,electricity,solar,CSP,2080,0.48
TS,electricity,solar,CSP,2080,0.48
UK,electricity,solar,CSP,2080,0.48
UP,electricity,solar,CSP,2080,0.48
WB,electricity,solar,CSP,2080,0.48
AN,electricity,solar,CSP,2085,0.48
AP,electricity,solar,CSP,2085,0.48
AR,electricity,solar,CSP,2085,0.48
AS,electricity,solar,CSP,2085,0.48
BR,electricity,solar,CSP,2085,0.48
CG,electricity,solar,CSP,2085,0.48
CH,electricity,solar,CSP,2085,0.48
DD,electricity,solar,CSP,2085,0.48
DL,electricity,solar,CSP,2085,0.48
DN,electricity,solar,CSP,2085,0.48
GA,electricity,solar,CSP,2085,0.48
GJ,electricity,solar,CSP,2085,0.48
HP,electricity,solar,CSP,2085,0.48
HR,electricity,solar,CSP,2085,0.48
JH,electricity,solar,CSP,2085,0.48
JK,electricity,solar,CSP,2085,0.48
KA,electricity,solar,CSP,2085,0.48
KL,electricity,solar,CSP,2085,0.48
LA,electricity,solar,CSP,2085,0.48
LD,electricity,solar,CSP,2085,0.48
MH,electricity,solar,CSP,2085,0.48
ML,electricity,solar,CSP,2085,0.48
MN,electricity,solar,CSP,2085,0.48
MP,electricity,solar,CSP,2085,0.48
MZ,electricity,solar,CSP,2085,0.48
NL,electricity,solar,CSP,2085,0.48
OD,electricity,solar,CSP,2085,0.48
PB,electricity,solar,CSP,2085,0.48
PC,electricity,solar,CSP,2085,0.48
RJ,electricity,solar,CSP,2085,0.48
SK,electricity,solar,CSP,2085,0.48
TN,electricity,solar,CSP,2085,0.48
TR,electricity,solar,CSP,2085,0.48
TS,electricity,solar,CSP,2085,0.48
UK,electricity,solar,CSP,2085,0.48
UP,electricity,solar,CSP,2085,0.48
WB,electricity,solar,CSP,2085,0.48
AN,electricity,solar,CSP,2090,0.48
AP,electricity,solar,CSP,2090,0.48
AR,electricity,solar,CSP,2090,0.48
AS,electricity,solar,CSP,2090,0.48
BR,electricity,solar,CSP,2090,0.48
CG,electricity,solar,CSP,2090,0.48
CH,electricity,solar,CSP,2090,0.48
DD,electricity,solar,CSP,2090,0.48
DL,electricity,solar,CSP,2090,0.48
DN,electricity,solar,CSP,2090,0.48
GA,electricity,solar,CSP,2090,0.48
GJ,electricity,solar,CSP,2090,0.48
HP,electricity,solar,CSP,2090,0.48
HR,electricity,solar,CSP,2090,0.48
JH,electricity,solar,CSP,2090,0.48
JK,electricity,solar,CSP,2090,0.48
KA,electricity,solar,CSP,2090,0.48
KL,electricity,solar,CSP,2090,0.48
LA,electricity,solar,CSP,2090,0.48
LD,electricity,solar,CSP,2090,0.48
MH,electricity,solar,CSP,2090,0.48
ML,electricity,solar,CSP,2090,0.48
MN,electricity,solar,CSP,2090,0.48
MP,electricity,solar,CSP,2090,0.48
MZ,electricity,solar,CSP,2090,0.48
NL,electricity,solar,CSP,2090,0.48
OD,electricity,solar,CSP,2090,0.48
PB,electricity,solar,CSP,2090,0.48
PC,electricity,solar,CSP,2090,0.48
RJ,electricity,solar,CSP,2090,0.48
SK,electricity,solar,CSP,2090,0.48
TN,electricity,solar,CSP,2090,0.48
TR,electricity,solar,CSP,2090,0.48
TS,electricity,solar,CSP,2090,0.48
UK,electricity,solar,CSP,2090,0.48
UP,electricity,solar,CSP,2090,0.48
WB,electricity,solar,CSP,2090,0.48
AN,electricity,solar,CSP,2095,0.48
AP,electricity,solar,CSP,2095,0.48
AR,electricity,solar,CSP,2095,0.48
AS,electricity,solar,CSP,2095,0.48
BR,electricity,solar,CSP,2095,0.48
CG,electricity,solar,CSP,2095,0.48
CH,electricity,solar,CSP,2095,0.48
DD,electricity,solar,CSP,2095,0.48
DL,electricity,solar,CSP,2095,0.48
DN,electricity,solar,CSP,2095,0.48
GA,electricity,solar,CSP,2095,0.48
GJ,electricity,solar,CSP,2095,0.48
HP,electricity,solar,CSP,2095,0.48
