INPUT_TABLE,,,,,
Variable ID,,,,,
RegionTechCF,,,,,
,,,,,
region,supplysector,subsector,technology,year,capacity.factor
AR,electricity,biomass,biomass (conv CCS),2035,0.8
AR,electricity,biomass,biomass (conv CCS),2040,0.8
AR,electricity,biomass,biomass (conv CCS),2045,0.8
AR,electricity,biomass,biomass (conv CCS),2050,0.8
AR,electricity,biomass,biomass (conv CCS),2055,0.8
AR,electricity,biomass,biomass (conv CCS),2060,0.8
AR,electricity,biomass,biomass (conv CCS),2065,0.8
AR,electricity,biomass,biomass (conv CCS),2070,0.8
AR,electricity,biomass,biomass (conv CCS),2075,0.8
AR,electricity,biomass,biomass (conv CCS),2080,0.8
AR,electricity,biomass,biomass (conv CCS),2085,0.8
AR,electricity,biomass,biomass (conv CCS),2090,0.8
AR,electricity,biomass,biomass (conv CCS),2095,0.8
AR,electricity,biomass,biomass (conv CCS),2100,0.8
AS,electricity,biomass,biomass (conv CCS),2010,0.8
AS,electricity,biomass,biomass (conv CCS),2015,0.8
AS,electricity,biomass,biomass (conv CCS),2020,0.8
AS,electricity,biomass,biomass (conv CCS),2025,0.8
AS,electricity,biomass,biomass (conv CCS),2030,0.8
AS,electricity,biomass,biomass (conv CCS),2035,0.8
AS,electricity,biomass,biomass (conv CCS),2040,0.8
AS,electricity,biomass,biomass (conv CCS),2045,0.8
AS,electricity,biomass,biomass (conv CCS),2050,0.8
AS,electricity,biomass,biomass (conv CCS),2055,0.8
AS,electricity,biomass,biomass (conv CCS),2060,0.8
AS,electricity,biomass,biomass (conv CCS),2065,0.8
AS,electricity,biomass,biomass (conv CCS),2070,0.8
AS,electricity,biomass,biomass (conv CCS),2075,0.8
AS,electricity,biomass,biomass (conv CCS),2080,0.8
AS,electricity,biomass,biomass (conv CCS),2085,0.8
AS,electricity,biomass,biomass (conv CCS),2090,0.8
AS,electricity,biomass,biomass (conv CCS),2095,0.8
AS,electricity,biomass,biomass (conv CCS),2100,0.8
BR,electricity,biomass,biomass (conv CCS),2010,0.8
BR,electricity,biomass,biomass (conv CCS),2015,0.8
BR,electricity,biomass,biomass (conv CCS),2020,0.8
BR,electricity,biomass,biomass (conv CCS),2025,0.8
BR,electricity,biomass,biomass (conv CCS),2030,0.8
BR,electricity,biomass,biomass (conv CCS),2035,0.8
BR,electricity,biomass,biomass (conv CCS),2040,0.8
BR,electricity,biomass,biomass (conv CCS),2045,0.8
BR,electricity,biomass,biomass (conv CCS),2050,0.8
BR,electricity,biomass,biomass (conv CCS),2055,0.8
BR,electricity,biomass,biomass (conv CCS),2060,0.8
BR,electricity,biomass,biomass (conv CCS),2065,0.8
BR,electricity,biomass,biomass (conv CCS),2070,0.8
BR,electricity,biomass,biomass (conv CCS),2075,0.8
BR,electricity,biomass,biomass (conv CCS),2080,0.8
BR,electricity,biomass,biomass (conv CCS),2085,0.8
BR,electricity,biomass,biomass (conv CCS),2090,0.8
BR,electricity,biomass,biomass (conv CCS),2095,0.8
BR,electricity,biomass,biomass (conv CCS),2100,0.8
CG,electricity,biomass,biomass (conv CCS),2010,0.8
CG,electricity,biomass,biomass (conv CCS),2015,0.8
CG,electricity,biomass,biomass (conv CCS),2020,0.8
CG,electricity,biomass,biomass (conv CCS),2025,0.8
CG,electricity,biomass,biomass (conv CCS),2030,0.8
CG,electricity,biomass,biomass (conv CCS),2035,0.8
CG,electricity,biomass,biomass (conv CCS),2040,0.8
CG,electricity,biomass,biomass (conv CCS),2045,0.8
CG,electricity,biomass,biomass (conv CCS),2050,0.8
CG,electricity,biomass,biomass (conv CCS),2055,0.8
CG,electricity,biomass,biomass (conv CCS),2060,0.8
CG,electricity,biomass,biomass (conv CCS),2065,0.8
CG,electricity,biomass,biomass (conv CCS),2070,0.8
CG,electricity,biomass,biomass (conv CCS),2075,0.8
CG,electricity,biomass,biomass (conv CCS),2080,0.8
CG,electricity,biomass,biomass (conv CCS),2085,0.8
CG,electricity,biomass,biomass (conv CCS),2090,0.8
CG,electricity,biomass,biomass (conv CCS),2095,0.8
CG,electricity,biomass,biomass (conv CCS),2100,0.8
CH,electricity,biomass,biomass (conv CCS),2010,0.8
CH,electricity,biomass,biomass (conv CCS),2015,0.8
CH,electricity,biomass,biomass (conv CCS),2020,0.8
CH,electricity,biomass,biomass (conv CCS),2025,0.8
CH,electricity,biomass,biomass (conv CCS),2030,0.8
CH,electricity,biomass,biomass (conv CCS),2035,0.8
CH,electricity,biomass,biomass (conv CCS),2040,0.8
CH,electricity,biomass,biomass (conv CCS),2045,0.8
CH,electricity,biomass,biomass (conv CCS),2050,0.8
CH,electricity,biomass,biomass (conv CCS),2055,0.8
CH,electricity,biomass,biomass (conv CCS),2060,0.8
CH,electricity,biomass,biomass (conv CCS),2065,0.8
CH,electricity,biomass,biomass (conv CCS),2070,0.8
CH,electricity,biomass,biomass (conv CCS),2075,0.8
CH,electricity,biomass,biomass (conv CCS),2080,0.8
CH,electricity,biomass,biomass (conv CCS),2085,0.8
CH,electricity,biomass,biomass (conv CCS),2090,0.8
CH,electricity,biomass,biomass (conv CCS),2095,0.8
CH,electricity,biomass,biomass (conv CCS),2100,0.8
DD,electricity,biomass,biomass (conv CCS),2010,0.8
DD,electricity,biomass,biomass (conv CCS),2015,0.8
DD,electricity,biomass,biomass (conv CCS),2020,0.8
DD,electricity,biomass,biomass (conv CCS),2025,0.8
DD,electricity,biomass,biomass (conv CCS),2030,0.8
DD,electricity,biomass,biomass (conv CCS),2035,0.8
DD,electricity,biomass,biomass (conv CCS),2040,0.8
DD,electricity,biomass,biomass (conv CCS),2045,0.8
DD,electricity,biomass,biomass (conv CCS),2050,0.8
DD,electricity,biomass,biomass (conv CCS),2055,0.8
DD,electricity,biomass,biomass (conv CCS),2060,0.8
DD,electricity,biomass,biomass (conv CCS),2065,0.8
DD,electricity,biomass,biomass (conv CCS),2070,0.8
DD,electricity,biomass,biomass (conv CCS),2075,0.8
DD,electricity,biomass,biomass (conv CCS),2080,0.8
DD,electricity,biomass,biomass (conv CCS),2085,0.8
DD,electricity,biomass,biomass (conv CCS),2090,0.8
DD,electricity,biomass,biomass (conv CCS),2095,0.8
DD,electricity,biomass,biomass (conv CCS),2100,0.8
DL,electricity,biomass,biomass (conv CCS),2010,0.8
DL,electricity,biomass,biomass (conv CCS),2015,0.8
